state,district,latitude,longitude
Madhya Pradesh,Shahdol,23.559730481358024,81.31838584265431
Madhya Pradesh,Shajapur,23.7479519016,77.45462401440001
Madhya Pradesh,Sheopur,25.829610285882353,77.02145164117647
Madhya Pradesh,Shivpuri,25.335652833177626,77.81522452452472
Madhya Pradesh,Sidhi,24.273266651612904,81.68713930645161
Madhya Pradesh,Singrauli,25.031620336842103,225.72509388070173
Madhya Pradesh,Tikamgarh,26.074075068421052,78.14111309022556
Madhya Pradesh,Ujjain,24.353110824623116,75.51723467889447
Madhya Pradesh,Umaria,23.559572602941177,80.94178668725489
Madhya Pradesh,Vidisha,24.833688847596154,76.28435572788462
Maharashtra,Ahmednagar,19.27110039528985,74.63136217774408
Maharashtra,Akola,20.763444774688796,77.05181362863071
Maharashtra,Amravati,21.153251954293637,77.63506699911612
Maharashtra,Aurangabad,19.966126177914113,75.35845900460123
Maharashtra,Beed,18.942744320760234,220459.25359065874
Maharashtra,Bhandara,21.172836027338132,79.24598769640288
Maharashtra,Buldhana,20.480783333460142,76.389794576683
Maharashtra,Chandrapur,20.42625325496337,93.31042249252747
Maharashtra,Dhule,21.095321934798534,74.62977388849816
Maharashtra,Gadchiroli,20.27615109755556,79.66538957155555
Maharashtra,Gondia,21.56033145728745,79.13673976761133
Maharashtra,Hingoli,19.636782068133336,51228.51679336667
Maharashtra,Jalgaon,21.00138463756374,75.30991997198299
Maharashtra,Jalna,19.864394514361702,75.9514420356383
Maharashtra,Kolhapur,16.56265913117647,74.27218900264707
Maharashtra,Latur,18.340443582638887,76.5389919232639
Maharashtra,Mumbai,19.458246765855858,72.3512463091892
Maharashtra,Mumbai Suburban,19.124585572813057,72.87667845115831
Maharashtra,Nagpur,21.97487154741758,79.00836247818681
Maharashtra,Nanded,19.112924760075195,159189.76163719475
Maharashtra,Nandurbar,21.742242472033897,74.20770743927966
Maharashtra,Nashik,20.222253865689147,74.06300529428152
Maharashtra,Osmanabad,18.18707961048951,76.04754639965036
Maharashtra,Palghar,19.908246990243903,72.79297605934958
Maharashtra,Parbhani,19.254610247755103,390655.31937114167
Maharashtra,Pune,18.563325301797175,73.97180027050064
Maharashtra,Raigad,18.479512618568233,73.2114402852349
Maharashtra,Ratnagiri,17.277907192978724,73.36351052455926
Maharashtra,Sangli,17.129630485678394,74.42759302462312
Maharashtra,Satara,17.65499656240713,74.12936873239227
Maharashtra,Sindhudurg,16.13746908210227,73.68055019005682
Maharashtra,Solapur,19.023834300561795,74.31899571273408
Maharashtra,Thane,19.30184962844037,73.03054835412844
Maharashtra,Wardha,20.789047302030458,78.51203108527919
Maharashtra,Washim,20.228455954651164,77.1885980744186
Maharashtra,Yavatmal,20.1376229225,78.07486703537128
Manipur,Bishnupur,24.53569166111111,93.76392155277777
Manipur,Chandel,24.25555511111111,94.00331518055556
Manipur,Churachandpur,24.376363387179488,93.60117381102565
Manipur,Imphal East,24.793845145121953,94.05603750609757
Manipur,Imphal West,25.681400204605264,93.87709892144737
Manipur,Jiribam,24.683736336000003,93.317932384
Manipur,Kakching,24.5044053225,93.880038285
Manipur,Kamjong,24.881568625,89.932222125
Manipur,Kangpokpi,25.506816054629628,93.2966043712963
Manipur,Noney,24.78441064,93.5908026
Manipur,Pherzawl,24.39871726666667,93.39007891481481
Manipur,Senapati,25.41015636111111,94.18547202777778
Manipur,Tamenglong,25.014709256410256,93.55878128205129
Manipur,Tengnoupal,24.364830428571427,94.00700199999999
Manipur,Thoubal,24.6087484284,94.00370406980001
Manipur,Ukhrul,25.19610937465116,94.41587284232558
Meghalaya,East Garo Hills,25.619850500000002,90.61169498214285
Meghalaya,East Jaintia Hills,25.28893696875,92.4032211875
Meghalaya,East Khasi Hills,25.481369912950818,91.69782617672132
Meghalaya,North Garo Hills,25.825820313043476,90.6791900826087
Meghalaya,Ri Bhoi,25.891374363265307,92.0019204122449
Meghalaya,South Garo Hills,25.316457477500002,90.68936803625
Meghalaya,South West Garo Hills,25.43866054736842,90.07773525263158
Meghalaya,South West Khasi Hills,25.449385242857144,91.46125201428572
Meghalaya,West Garo Hills,26.205331316695652,90.387494546
Meghalaya,West Jaintia Hills,25.55619403109375,91.591116314375
Meghalaya,West Khasi Hills,25.610480369565217,91.0246695652174
Mizoram,Aizawl,23.53126140578125,92.70805223875
Mizoram,Champhai,23.41566532162162,252296731.95079777
Mizoram,Hnahthial,23.0436633,92.98326292857143
Mizoram,Khawzawl,23.465497357894737,93.14541484210527
Mizoram,Kolasib,24.1417609,92.7138055857143
Mizoram,Lawngtlai,22.48359558846154,92.86686478076923
Mizoram,Lunglei,23.040030684999998,92.60953756
Mizoram,Mamit,23.642636200000002,92.51306047599999
Mizoram,Saiha,22.360881145454545,93.01190838636363
Mizoram,Saitual,23.825476051724134,93.05390520689656
Mizoram,Serchhip,23.319282311764706,92.93777569117647
Nagaland,Dimapur,25.836168754347824,93.78492358695652
Nagaland,Kiphire,25.879539381904763,94.81155052761905
Nagaland,Kohima,25.4936274358,93.82240949160001
Nagaland,Longleng,26.50203241,94.80316137636363
Nagaland,Mokokchung,26.45103359792453,94.53718232301887
Nagaland,Mon,26.642115005937498,94.996305901875
Nagaland,Noklak,26.17429217777778,94.95907696666667
Nagaland,Peren,25.557191728,93.69670015399998
Nagaland,Phek,25.643676984615382,94.42172479487179
Nagaland,Tuensang,26.17158344097561,94.42785927853659
Nagaland,Wokha,26.13091355586207,94.21193958827585
Nagaland,Zunheboto,25.994257076666663,94.50053633928572
Odisha,Anugul,20.971137597328244,84.97247115519083
Odisha,Balangir,20.589067649683546,83.22814938101266
Odisha,Baleshwar,21.762374794211574,86.98231639481037
Odisha,Bargarh,21.466561591304345,83.56841183201581
Odisha,Bhadrak,20.985358618688526,86.58942536655736
Odisha,Boudh,22.05627357708333,84.22580711458333
Odisha,Cuttack,20.46814402893401,85.78945687614213
Odisha,Deogarh,21.434501162337664,84.8077744
Odisha,Dhenkanal,20.81321138734694,85.5261409232653
Odisha,Gajapati,19.05692410340136,84.16951702517007
Odisha,Ganjam,19.6522382977305,84.61868778312056
Odisha,Jagatsinghapur,20.387505355673078,86.15996288600961
